spellName,"type","tier",categories,"reach","time","duration","effect"
Kouha,Light,I,"Mono, Light, Bless (A)",One target within 6 meters,Default,Instant,"Hit: MAGd6 Light damage. Bless: Any number of targets within range of your Zenith gain Fortify All MAG/2 (Minimum 1). This is considered a Buff effect that stacks with other Buff effects."
Hakouha,Light,I,"Multi, Light, Bless (A)",Up to 3 targets within 6 meters,Default,Instant,"Hit: MAGd4 Light damage. Bless: Enemies cannot enter your Zenith's range. If targets are already within range, they are moved to the closest possible point outside of your Zenith's range, no check."
Makouha,Light,I,"Total, Light, Bless (A)",Any number of targets within 6 meters,Default,Instant,"Hit: MAGd4-5 Light damage. Bless: Extend the duration of Tier I Taru, Raku, and Suku Buff effects active on targets within your Zenith's range by 1 round."
Kouga,Light,II,"Mono, Light, Bless (A)",One target within 6 meters,Default,Instant,"Hit: MAGd8 Light damage. Bless: Any number of targets within range of your Zenith gain Evade 1 against one Type of their choice. This is considered a Buff effect that stacks with other Buff effects."
Hakouga,Light,II,"Multi, Light, Bless (A)",Up to 3 targets within 6 meters,Default,Instant,"Hit: MAGd4+5 Light damage. Bless: Enemies cannot enter your Zenith's range. If targets are already within range, they are moved to the closest possible point outside of your Zenith's range and take MAG Light damage, no check."
Makouga,Light,II,"Total, Light, Bless (A)",Any number of targets within 6 meters,Default,Instant,"Hit: MAGd4 Light damage. Bless: Extend the duration of Tier II Taru, Raku, and Suku Buff effects active on targets within your Zenith's range by 1 round."
Immaculate Pulse,Light,II,"Zenith, Quick (A)",Caster,Quick,Instant,"Spend 1 Energy. Bless: Whenever an ally within your Zenith's range declares an attack, that attack deals +MAG Light damage on hit. Each User can only benefit from the effects of this spell once per round, regardless of how many Zeniths they come within range of that round."
Hamaon,Light,III,"Mono, Light (A)",1 target,Default,Instant,"Deals 40+3TEC% of the target's current HP as damage, Max 70%."
Ha Hamaon,Light,III,"Multi, Light (A)",1 target and all adjacent targets,Default,Instant,"Deals 20+2TEC% of the target's current HP as damage, Max 50%."
Mahamaon,Light,III,"Total, Light (A)",Any number of targets,Default,Instant,"Deals 10+TEC% of the target's current HP as damage, Max 50%."
Shining Arrows,Light,III,"Combo, Light (A)",Dance: Up to 1d6 targets within 5 meters,Default,Instant,"Deals 15% of the target's current HP as damage."
Kougaon,Light,III,"Mono, Light, Bless (A)",One target within 6 meters,Default,Instant,"Hit: MAGd10 Light damage. Bless: Any number of targets within range of your Zenith take half damage from the next damage instance they take."
Hakougaon,Light,III,"Multi, Light, Bless (A)",Up to 3 targets within 6 meters,Default,Instant,"Hit: MAGd6+5 Light damage. Bless: If an enemy declares an attack against a target that is within your Zenith's range, that enemy takes MAG Light damage, once per round."
Makougaon,Light,III,"Total, Light, Bless (A)",Any number of targets within 6 meters,Default,Instant,"Hit: MAGd4+6 Light damage. Bless: Extend the duration of Tier III Taru, Raku, and Suku Buff effects active on targets within your Zenith's range by 1 round."
Blessing of the Golden,Light,III,"Zenith, Defense (H)",Zenith,Default,Held,"Bless: Grant your Zenith a shield with HP equal to (MAG + PLv.) * 2. Whenever an ally within range of your Zenith would take damage, they may instead choose to subtract the damage from the Zenith's shield. Each character can only benefit from this effect once per round, regardless of how many Zeniths they are within range of. At the start of your turn, if this effect is active, you may spend 2 Energy to extend this effect and restore MAG points of the Zenith's Shield as a Quick Action."
Banishment,Light,V,"Mono, Repress, Light (A)",1 target,Default,Instant,"Reduce the target to 1 HP. If this spell isn't Nulled or Reflected, Repress. Drain Light fully heals the target's HP. Against targets with Hetelic Resistances: this spell deals 10% of the target's maximum HP as Light damage and treats Null Light as Resist."
Innocent Sin,Light,V,"Light (A)",1 target,Default,Instant,"Deals 50+3TEC% of the target's current HP as damage."
Equalize,Light,V,"Total, Repress, Light (A)",Any number of targets,Default,Instant,"Adds the total HP of all targets and distributes it equally among all, as long as the amount of HP does not exceed the maximum amount of HP of any target. If that happens, all target's HP are set to the highest possible HP, the lowest maximum HP on the targets. Repress."
Samsara,Light,V,"Total, Light (A)",Any number of targets,Default,Instant,"Pay 1 Aspect Point: Deals 20+2TEC% of the target's current HP as damage."
Eternal Jewel,Light,V,"Mono, Light, Bless, Repress (A)",1 target within 6 meters,Default,Instant,"Hit: MAGd12+MAG Light damage. Repress to Bless: Any number of targets within the Zenith's range have all their Type Weakness interactions become Neutral."
Final Moment,Light,V,"Multi, Light, Bless, Death, Repress (A)",Up to 3 targets within 6 meters,Default,Instant,"Hit: MAGd8+4 Light damage. Bless: Any number of targets within the Zenith's range take 2MAG Light damage. After this, Repress to Bless: Any number of targets whose HP is below 20% and are within the Zenith's range or enter it for the duration of this effect are killed."
The Third Secret,Light,V,"Total, Light, Bless, Repress (A)",Any number of targets within 6 meters,Default,Instant,"Hit: MAGd8 Light damage. Bless: Extend the duration of Tier V Taru, Raku, and Suku Buff effects active on targets within your Zenith's range by 1 round. Repress to Bless: Any number of targets within your Zenith's range recover 2 Energy."
Mudo,Dark,I,"Mono, Death, Dark (A)",1 target,Default,Instant,"Instantly kills targets below 15+3TEC% maximum HP, Max 40%."
Ha Mudo,Dark,I,"Multi, Death, Dark (A)",1 target and all adjacent targets,Default,Instant,"Instantly kills targets below 10+2TEC% maximum HP, Max 25%."
Mamudo,Dark,I,"Total, Death, Dark (A)",Any number of targets,Default,Instant,"Instantly kills targets below 5+TEC% maximum HP, Max 25%."
Eiha,Dark,I,"Mono, Dark, Curse (A)",1 target within TEC meters,Default,Instant,"Hit: MAGd4 Dark damage. Curse: MAG damage."
Haeiha,Dark,I,"Multi, Dark, Curse (A)",Up to 3 targets within TEC meters,Default,Instant,"Hit: 2MAG Dark damage. Curse: MAG/2 (Min. 1) damage."
Maeiha,Dark,I,"Total, Dark, Curse (A)",Any number of targets within 2TEC meters,Default,Instant,"Hit: MAG Dark damage. Curse: Deals MAGd4 damage to all units adjacent to the Cursed unit."
Dark Boost,Dark,II,"Unique, Boost, Dark (P)",Caster,Automatic,Passive,"Increase the 'Max' limit of all your Death Category Dark spells by 5%. Curse spells you cast deal 15% more damage on hit. Both effects stack with Dark Amp."
Eiga,Dark,II,"Mono, Dark, Curse (A)",1 target within TEC meters,Default,Instant,"Hit: MAGd6 Dark damage. Curse: Target's next attack deals MAG less damage (this is considered a Debuff effect)."
Haeiga,Dark,II,"Multi, Dark, Curse (A)",Up to 3 targets within TEC meters,Default,Instant,"Hit: MAGd4 Dark damage. Curse: MAG+8 damage."
Maeiga,Dark,II,"Total, Dark, Curse (A)",Any number of targets within 2TEC meters,Default,Instant,"Hit: 2MAG Dark damage. Curse: Deals MAGd4 damage to all units within 2 meters of each Cursed unit."
Grasp of the Lesser Key,Dark,II,"Curse (H)",Any number of targets you can see,Default,Instant,"Spend 2 Energy per selected target. Curse: Target is moved up to TEC meters in any direction (your choice) and its movement allowance is reduced to 1 until the end of your next turn. At the end of your turn, you can select any number of targets that were affected by this Curse this turn as a Quick action: Spend 2 Energy per target, extend this spell's movement allowance effect until the end of your next turn."
Mudoon,Dark,III,"Mono, Death, Dark (A)",1 target,Default,Instant,"Instantly kills targets below 30+3TEC% maximum HP, Max 80%."
Ha Mudoon,Dark,III,"Multi, Death, Dark (A)",1 target and all adjacent targets,Default,Instant,"Instantly kills targets below 25+2TEC% maximum HP, Max 50%."
Mamudoon,Dark,III,"Total, Death, Dark (A)",Any number of targets,Default,Instant,"Instantly kills targets below 20+TEC% maximum HP, Max 50%."
Dark Amp,Dark,III,"Unique, Boost, Death, Dark (P)",Caster,Automatic,Passive,"Add 5% to all Death checks from spells you cast. Curse spells you cast deal 15% more damage on hit."
Eigaon,Dark,III,"Mono, Dark, Curse (A)",1 target within TEC meters,Default,Instant,"Hit: MAGd8 Dark damage. Curse: MAGd4 damage."
Haeigaon,Dark,III,"Multi, Dark, Curse (A)",Up to 3 targets within TEC meters,Default,Instant,"Hit: MAGd4 Dark damage. Curse: MAGd4 damage."
Maeigaon,Dark,III,"Total, Dark, Curse (A)",Any number of targets within 2TEC meters,Default,Instant,"Hit: 2MAG Dark damage. Curse: Deals 2MAG damage to all units within TEC/2 (minimum 1) meters of each Cursed unit."
鉄皇 Zai Aku Tou Ten,Dark,III,"Unique, Curse (P)",Caster,Automatic,Passive,"Whenever a spell you cast Curses a unit and that Curse effect includes dealing damage, you maf spend X Energy: Extend Curse on that target for X turns (Curse will trigger at the start of each ef that unit's turns). If one spell you cast Curses more than one target, you must pay this price individually for each target you wish to apply this effect to."
Eternal Punishment,Dark,V,"Mono, Repress, Death, Dark (A)",1 target,Default,Instant,"Instantly kills targets below 60+3TEC% maximum HP. If this spell kills, Repress."
Demonic Decree,Dark,V,"Mono, Repress, Death, Dark (A)",1 target,Default,Instant,"Spend 4 Energy and Repress. Instantly kills one target below 90% maximum HP, as long as target's current HP value is lower than caster's current HP value."
Die for Me!,Dark,V,"Total, Repress, Death, Dark (A)",Any number of targets,Default,Instant,"Pay 1 Aspect Point. Instantly kills targets below 25+2TEC% maximum HP. Repress to add 10% to the roll and treat Null dark and Drain Dark as Resist Dark."
Black Future,Dark,V,"Total, Dark, Curse (A)",Up to TEC targets within 2TEC meters,Default,Instant,"Hit: MAGd8 dark damage. The next time a spell you cast against a target hit by this spell Curse: Trigger all Curses on the target immediately (they still trigger at the start of the enemy's turn)"
Hush,Dark,V,"Mono, Dark, Curse, Repress (A)",1 target within TEC meters,Default,Instant,"1 Dark damage. Curse: MAGd12+2MAG damage. Repress: HDC+1 and apply a second Curse: You take no damage from the target's next attack."
Astra,Almighty,I,"Mono, Almighty (B)",1 target within 8 meters,Default,Instant,"Cast: Hit: MAGd6-2 Almighty damage. Burst: Hit: MAGd4 Almighty damage to the target and adjacent targets. Do not check to hit adjacent targets."
Ha Astra,Almighty,I,"Multi, Almighty, Debuff (B)",Up to 3 targets within 8 meters,Default,Instant,"Cast: Hit: MAGd4 Almighty damage. Burst: Hit: MAGd4-4 Almighty damage and the next Physical, Element, Light, or Dark spell cast against the target deals +1d6 damage."
Ma Astra,Almighty,I,"Total, Almighty, Status (B)",Any number of targets within 8 meters,Default,Instant,"Cast: Hit: 2MAG Almighty damage. Burst: Hit: 2MAG Almighty damage, Slowed chance: 25%"
Astrala,Almighty,II,"Mono, Almighty (B)",1 target within 8 meters,Default,Instant,"Cast: Hit: MAGd6+MAG Almighty damage. Burst: Hit: MAGd6 Almighty damage to the target and adjacent targets. Do not check to hit adjacent targets."
Ha Astrala,Almighty,II,"Multi, Almighty, Debuff (B)",Up to 3 targets within 8 meters,Default,Instant,"Cast: Hit: MAGd4+3 Almighty damage. Burst: Hit: MAGd4 Almighty damage and the next damage-dealing spell cast against the target deals +1d10 damage on hit."
Ma Astrala,Almighty,II,"Total, Almighty, Status (B)",Any number of targets within 8 meters,Default,Instant,"Cast: Hit: MAGd4 Almighty damage. Burst: Hit: 2MAG Almighty damage, Slowed chance: 30%"
Astradyne,Almighty,III,"Mono, Almighty (B)",1 target within 8 meters,Default,Instant,"Cast: Hit: MAGd8+2 Almighty damage. Burst: Hit: MAGd6+MAG Almighty damage to the target and any number of targets within 2 meters of the original target. Do not check to hit extra targets."
Ha Astradyne,Almighty,III,"Multi, Almighty, Debuff (B)",Up to 3 targets within 8 meters,Default,Instant,"Cast: Hit: MAGd6+2 Almighty damage. Burst: Hit: MAGd6 Almighty damage and Rakundamon (Fortify Physical and Elements -8 for 3 rounds)."
Ma Astradyne,Almighty,III,"Total, Almighty, Status (B)",Any number of targets within 8 meters,Default,Instant,"Cast: Hit: MAGd4+4 Almighty damage. Burst: Hit: 2MAG Almighty damage, Knockdown chance: 20%"
Megido,Almighty,III,"Area, Almighty (A)",1 target within 8 meters and all adjacent targets,Default,Instant,"Spend 1 Energy to cast. Hit: MAGd10+2 Almighty damage."
Already Dead,Almighty,III,"Mono, Death, Almighty (B)",1 target within 6 meters,Defualt,Instant,"Cast: Hit: 1d6 Almighty damage. Burst (no hit check): MAGd4 Almighty damage, instantly kills targets below 15+2TEC% HP."
Megidola,Almighty,V,"Area, Almighty (A)",1 target within 8 meters and all combatants within 2 meters of the target,Default,Instant,"Spend 1 Energy to cast. Hit: MAGd10+MAG Almighty damage."
Megidolaon,Almighty,VI,"Area, Almighty (A)",1 target within 8 meters and all combatants within 2 meters of the target,Default,Instant,"Pay 1 Aspect Point. Hit: MAGd12+MAG+5 Almighty damage."
Black Viper,Almighty,VI,"Repress, Almighty (A)",1 target within 10 meters,Default,Instant,"Pay 1 Aspect Point or Repress. Hit: MAGd12+4MAG Almighty damage."
Final Word,Almighty,VI,"Mono, Light, Dark, Death, Repress, Almighty (A)",1 target within 10 meters,Default,Instant,"Pay 1 Aspect Point. Hit: MAGd12+2MAG Almighty damage. Target suffers the effects of Hamaon, then Mudoon. Resist Light/Dark is bypassed. Resistances above Resist are treated as Resist. Repress to use MAG instead of TEC to calculate the results of Hamaon and Mudoon. ❖ Hamaon: 40+3TEC% of the target's current HP dealt as Light damage, max 70%. ❖ Mudoon: Instantly kills the target if it's below 30+3TEC% maximum HP, Max 80%."
Morning Star,Almighty,VI,"Total, Realized, Repress, Almighty (A)",Any number of targets within 3 meters or a 5m radius explosion within 8 meters (this explosion damages allies within range),Default,Instant,"Sacrifice all uses of all other spells and pay 2 Energy to cast. Hit: MAGd12+7MAG Almighty damage. Repress to give this spell: Realized: This spell destroys and melts an area of 1m radius around the targets, wrecking all objects that aren't extremely resilient."
Doors to Hades,Almighty,VI,"Dark, Death, Almighty",1 target within 5 meters and units adjacent to that target,Default,Instant,"Repress to cast. Hit: MAGd12+2MAG Almighty damage. Pay 1 Aspect Point: Cast Mudoon on all hit enemies. ❖ Mudoon: Instantly kill targets whose HP is below 30+3TEC%, Max 80%"
Dia,Heal,I,"Mono, Heal (A)",1 target within 8 meters,Default,Instant,"Restores MAGd6+PLv*2 HP to the target"
Ha Dia,Heal,I,"Multi, Heal (A)",All targets within 4 meters,Default,Instant,"Restores MAGd6+PLv HP to each target"
Media,Heal,I,"Total, Heal (A)",All allies,Default,Instant,"Restores MAGd4 HP to each target"
Soma,Heal,I,"Mono, Quick, Status, Heal (A)",1 adjacent target,Quick,Instant,"Removes all Status, except Knocked Down."
Ha Soma,Heal,I,"Multi, Status, Heal (A)",The caster and all allies within 4 meters,Default,Instant,"Removes all Status, except Knocked Down."
Recarm,Heal,I,"Mono, Revive, Heal (A)","1 target within 5 meters",Default,Instant,"Revives the target with 50% HP"
Death's Edge,Heal,I,"Mono, Quick, Revive, Heal (A)","1 target",Quick,Instant,"Revives the target with 50% HP"
Diarama,Heal,II,"Mono, Heal (A)",1 target within 8 meters,Default,Instant,"Restores MAGd8+PLv*4 HP to the target"
Ha Diarama,Heal,II,"Multi, Heal (A)",All targets within 4 meters,Default,Instant,"Restores MAGd8+PLv*2 HP to each target"
Mediarama,Heal,II,"Total, Heal (A)",All allies,Default,Instant,"Restores MAGd6+MAG HP to each target"
Me Soma,Heal,II,"Total, Status, Heal (A)",1 adjacent target,Quick,Instant,"Removes all Status, except Knocked Down."
Source of Hygeia,Heal,II,"Unique, Boost, Heal (P)",Caster,Automatic,Passive,"Heal spells you cast heal 25% more HP. Does not stack with other Boost effects."
Caduceus,Heal,II,"Unique, Repress, Heal (P)",Caster,Automatic,Passive,"You may cast Heal spells, up to Tier III without spending uses or Energy. Repress any spells cast this way."
Diaraja,Heal,III,"Mono, Heal (A)",1 target within 8 meters,Default,Instant,"Restores MAGd10+PLv*5 HP to the target"
Ha Diaraja,Heal,III,"Multi, Heal (A)",All targets within 4 meters,Default,Instant,"Restores MAGd10+3MAG HP to each target"
Mediaraja,Heal,III,"Total, Heal (A)",All allies,Default,Instant,"Restores MAGd10 HP to each target"
Recarmdra,Heal,III,"Mono, Revive, Heal (A)","1 target",Default,Instant,"Restores 100% HP or revives the target with 100% HP. Reduces the caster's HP to 0."
Amrita,Heal,III,"Total, Status, Heal (A)",All targets within 5 meters,Default,Instant,"Remove All Status"
Hand of Asclepius,Heal,III,"Unique, Boost, Heal (P)",Caster,Automatic,Passive,"Heal spells you cast restore 50% more HP. Does not stack with other Boost effects."
Diarahan,Heal,V,"Mono, Heal (A)",1 target within 8 meters,Default,Instant,"Restores 100% HP to the target"
Ha Diarahan,Heal,V,"Multi, Heal (A)",All targets within 4 meters,Default,Instant,"Pay 1 Aspect Point. Restores 100% HP to each target"
Mediarahan,Heal,V,"Total, Repress, Heal (A)",All allies,Default,Instant,"Restores 100% HP to each target. Repress"
Plume of Dawn,Heal,V,"Repress, Revive, Total, Status, Heal (A)",All Allies,Default,Instant,"Pay 1 Aspect Point. Pay 1 extra Aspect Point for each ally below 1 HP you wish to apply this effect to. Removes all Status, Revives, and Restores 100% HP. Repress."
Tarukaja,Buff,I,"Mono, Taru, Buff (A)",1 target you can see,Default,3 turns,"+1 STR, +1 MAG"
Sukukaja,Buff,I,"Mono, Suku, Buff (A)",1 target you can see,Default,3 turns,"+1 TEC, +1 AGI"
Rakukaja,Buff,I,"Mono, Raku, Buff (A)",1 target you can see,Default,3 turns,"Fortify Physical +4, Fortify Elements +4"
Dekaja,Buff,I,"Removal, Buff (A)",Any number of targets,Default,Instant,"Remove all positive Taru, Suku, and Raku effects."
Tarukajamon,Buff,II,"Mono, Taru, Buff (A)",1 target you can see,Default,3 turns,"+2 STR, +2 MAG"
Auto-Tarukaja,Buff,II,"Auto, Unique, Taru, Buff (P)",Caster,Start of Combat,3 turns,"+1 STR, +1 MAG"
Ha Tarukaja,Buff,II,"Multi, Taru, Buff (A)",Up to 2 targets you can see,Default,3 turns,"+1 STR, +1 MAG"
Sukukajamon,Buff,II,"Mono, Suku, Buff (A)",1 target you can see,Default,3 turns,"+2 TEC, +2 AGI"
Auto-Sukukaja,Buff,II,"Auto, Unique, Suku, Buff (P)",Caster,Start of Combat,3 turns,"+1 TEC, +1 AGI"
Ha Sukukaja,Buff,II,"Multi, Suku, Buff (A)",Up to 2 targets you can see,Default,3 turns,"+1 TEC, +1 AGI"
Rakukajamon,Buff,II,"Mono, Raku, Buff (A)",1 target you can see,Default,3 turns,"Fortify Physical +8, Fortify Elements +8"
Auto-Rakukaja,Buff,II,"Auto, Unique, Raku, Buff (A)",1 target you can see,Start of Combat,3 turns,"Fortify Physical +4, Fortify Elements +4"
Ha Rakukaja,Buff,II,"Mono, Raku, Buff (A)",1 target you can see,Default,3 turns,"Fortify Physical +4, Fortify Elements +4"
Rebellion,Buff,II,"Total, Luck, Quick, Buff",All combatants,Quick,Instant,"Grants 2 temporary Luck Charges to each target"
Tarukajaou,Buff,III,"Mono, Taru, Buff (A)",1 target you can see,Default,3 turns,"+3 STR, +3 MAG"
Auto-Tarukajamon,Buff,III,"Auto, Unique, Taru, Buff (P)",Caster,Start of Combat,3 turns,"+2 STR, +2 MAG"
Ha Tarukajamon,Buff,III,"Multi, Taru, Buff (A)",Up to 2 targets you can see,Default,3 turns,"+2 STR, +2 MAG"
Matarukaja,Buff,III,"Total, Taru, Buff (A)",All Allies,Default,3 turns,"+1 STR, +1 MAG"
Sukukajaou,Buff,III,"Mono, Suku, Buff (A)",1 target you can see,Default,3 turns,"+3 TEC, +3 AGI"
Auto-Sukukajamon,Buff,III,"Auto, Unique, Suku, Buff (P)",Caster,Start of Combat,3 turns,"+2 TEC, +2 AGI"
Ha Sukukajamon,Buff,III,"Multi, Suku, Buff (A)",Up to 2 targets you can see,Default,3 turns,"+2 TEC, +2 AGI"
Masukukaja,Buff,III,"Total, Suku, Buff (A)",All Allies,Default,3 turns,"+1 TEC, +1 AGI"
Rakukajaou,Buff,III,"Mono, Raku, Buff (A)",1 target you can see,Default,3 turns,"Fortify Physical +12, Fortify Elements +12"
Auto-Rakukajamon,Buff,III,"Auto, Unique, Raku, Buff (A)",1 target you can see,Start of Combat,3 turns,"Fortify Physical +8, Fortify Elements +8"
Ha Rakukajamon,Buff,III,"Mono, Raku, Buff (A)",1 target you can see,Default,3 turns,"Fortify Physical +8, Fortify Elements +8"
Marakukaja,Buff,III,"Total, Raku, Buff (A)",All Allies,Default,3 turns,"Fortify Physical +4, Fortify Elements +4"
Revolution,Buff,III,"critical, Unique, Buff (P)",Caster,Automatic,Passive,"Critical Margin +1"
Tarukajyne,Buff,V,"Mono, Taru, Buff (A)",1 target you can see,Default,3 turns,"+4 STR, +4 MAG"
Auto-Tarukajaou,Buff,V,"Auto, Unique, Taru, Buff (P)",Caster,Start of Combat,3 turns,"+3 STR, +3 MAG"
Ha Tarukajaou,Buff,V,"Multi, Taru, Buff (A)",Up to 2 targets you can see,Default,3 turns,"+3 STR, +3 MAG"
Matarukajamon,Buff,V,"Total, Taru, Buff (A)",All Allies,Default,3 turns,"+2 STR, +2 MAG"
Sukukajyne,Buff,V,"Mono, Suku, Buff (A)",1 target you can see,Default,3 turns,"+4 TEC, +4 AGI"
Auto-Sukukajaou,Buff,V,"Auto, Unique, Suku, Buff (P)",Caster,Start of Combat,3 turns,"+3 TEC, +3 AGI"
Ha Sukukajaou,Buff,V,"Multi, Suku, Buff (A)",Up to 2 targets you can see,Default,3 turns,"+3 TEC, +3 AGI"
Masukukajamon,Buff,V,"Total, Suku, Buff (A)",All Allies,Default,3 turns,"+2 TEC, +2 AGI"
Rakukajyne,Buff,V,"Mono, Raku, Buff (A)",1 target you can see,Default,3 turns,"Fortify Physical +24, Fortify Elements +24"
Auto-Rakukajaou,Buff,V,"Auto, Unique, Raku, Buff (A)",1 target you can see,Start of Combat,3 turns,"Fortify Physical +12, Fortify Elements +12"
Ha Rakukajaou,Buff,V,"Mono, Raku, Buff (A)",1 target you can see,Default,3 turns,"Fortify Physical +12, Fortify Elements +12"
Marakukajamon,Buff,V,"Total, Raku, Buff (A)",All Allies,Default,3 turns,"Fortify Physical +8, Fortify Elements +8"
Cataclysm,Buff,V,"Total, Luck, Quick, Buff (A)",All Combatants,Quick,Until combat ends,"Critical Margin +1, Grants 3 temporary Luck Charges"
Heat Riser,Buff,V,"Unique, Mono, Taru, Suku, Raku, Buff (A)",1 target,Default,3 rounds,"+2 STR, +2 MAG, +2 TEC, +2 AGI, Fortify Physical +8, Fortify Elements +8"
Tarunda,Debuff,I,"Mono, Taru, Debuff (A)",1 target you can see,Default,3 turns,"-1 STR, -1 MAG"
Sukunda,Debuff,I,"Mono, Suku, Debuff (A)",1 target you can see,Default,3 turns,"-1 TEC, -1 AGI"
Rakunda,Debuff,I,"Mono, Raku, Debuff (A)",1 target you can see,Default,3 turns,"Fortify Physical -4, Fortify Elements -4"
Dekunda,Debuff,I,"Removal, Total, Debuff (A)",All Allies,Default,Instant,"Remove all negative Taru, Suku, and Raku effects."
Tarundamon,Debuff,II,"Mono, Taru, Debuff (A)",1 target you can see,Default,3 turns,"-2 STR, -2 MAG"
Ha Tarunda,Debuff,II,"Multi, Taru, Debuff (A)",Up to 2 targets you can see,Default,3 turns,"-1 STR, -1 MAG"
Sukundamon,Debuff,II,"Mono, Suku, Debuff (A)",1 target you can see,Default,3 turns,"-2 TEC, -2 AGI"
Ha Sukunda,Debuff,II,"Multi, Suku, Debuff (A)",Up to 2 targets you can see,Default,3 turns,"-1 TEC, -1 AGI"
Rakundamon,Debuff,II,"Mono, Raku, Debuff (A)",1 target you can see,Default,3 turns,"Fortify Physical -8, Fortify Elements -8"
Ha Rakunda,Debuff,II,"Mono, Raku, Debuff (A)",1 target you can see,Default,3 turns,"Fortify Physical -4, Fortify Elements -4"
Cease Rebellion,Debuff,II,"Total, Critical, Debuff",Any number of targets,Default,3 turns,"Critical Margin -1"
Tarundaou,Debuff,III,"Mono, Taru, Debuff (A)",1 target you can see,Default,3 turns,"-3 STR, -3 MAG"
Ha Tarundamon,Debuff,III,"Multi, Taru, Debuff (A)",Up to 2 targets you can see,Default,3 turns,"-2 STR, -2 MAG"
Matarunda,Debuff,III,"Total, Taru, Debuff (A)",All Enemies,Default,3 turns,"-1 STR, -1 MAG"
Sukundaou,Debuff,III,"Mono, Suku, Debuff (A)",1 target you can see,Default,3 turns,"-3 TEC, -3 AGI"
Ha Sukundamon,Debuff,III,"Multi, Suku, Debuff (A)",Up to 2 targets you can see,Default,3 turns,"-2 TEC, -2 AGI"
Masukunda,Debuff,III,"Total, Suku, Debuff (A)",All Enemies,Default,3 turns,"-1 TEC, -1 AGI"
Rakundaou,Debuff,III,"Mono, Raku, Debuff (A)",1 target you can see,Default,3 turns,"Fortify Physical -12, Fortify Elements -12"
Ha Rakundamon,Debuff,III,"Mono, Raku, Debuff (A)",1 target you can see,Default,3 turns,"Fortify Physical -8, Fortify Elements -8"
Marakunda,Debuff,III,"Total, Raku, Debuff (A)",All Enemies,Default,3 turns,"Fortify Physical -4, Fortify Elements -4"
Tarundyne,Debuff,V,"Mono, Taru, Debuff (A)",1 target you can see,Default,3 turns,"-4 STR, -4 MAG"
Ha Tarundaou,Debuff,V,"Multi, Taru, Debuff (A)",Up to 2 targets you can see,Default,3 turns,"-3 STR, -3 MAG"
Matarundamon,Debuff,V,"Total, Taru, Debuff (A)",All Enemies,Default,3 turns,"-2 STR, -2 MAG"
Sukundyne,Debuff,V,"Mono, Suku, Debuff (A)",1 target you can see,Default,3 turns,"-4 TEC, -4 AGI"
Ha Sukundaou,Debuff,V,"Multi, Suku, Debuff (A)",Up to 2 targets you can see,Default,3 turns,"-3 TEC, -3 AGI"
Masukundamon,Debuff,V,"Total, Suku, Debuff (A)",All Enemies,Default,3 turns,"-2 TEC, -2 AGI"
Rakundyne,Debuff,V,"Mono, Raku, Debuff (A)",1 target you can see,Default,3 turns,"Fortify Physical -24, Fortify Elements -24"
Ha Rakundaou,Debuff,V,"Mono, Raku, Debuff (A)",1 target you can see,Default,3 turns,"Fortify Physical -12, Fortify Elements -12"
Marakundamon,Debuff,V,"Total, Raku, Debuff (A)",All Enemies,Default,3 turns,"Fortify Physical -8, Fortify Elements -8"
Debilitate,Debuff,V,"Unique, Mono, Taru, Suku, Raku, Deuff (A)",1 target,Default,3 rounds,"Repress and pay 3 Energy. -3 STR, -3 MAG, -3 TEC, -3 AGI, Fortify Physical -8, Fortify Elements -8"
